CPU,L2 Configuration,L2 Miss Rate (%),Simulation Ticks
RiscvTimingSimpleCPU,"32 KiB, 4-way",79.5396,988153354000
RiscvTimingSimpleCPU,"64 KiB, 2-way",66.9523,985351940000
RiscvTimingSimpleCPU,"64 KiB, 4-way",68.4539,985731831000
RiscvTimingSimpleCPU,"64 KiB, 8-way",69.881,986043281000
RiscvTimingSimpleCPU,"256 KiB, 2-way",44.6734,980459759000
RiscvTimingSimpleCPU,"256 KiB, 4-way",46.1309,980802354000
RiscvTimingSimpleCPU,"1 MiB, 2-way",21.9476,970045786000
RiscvTimingSimpleCPU,"1 MiB, 8-way",25.5254,971041566000
RiscvO3CPU,"32 KiB, 4-way",80.023,146229168000
RiscvO3CPU,"64 KiB, 2-way",67.4099,145492392000
RiscvO3CPU,"64 KiB, 4-way",68.9031,145575128000
RiscvO3CPU,"64 KiB, 8-way",70.3346,145621846000
RiscvO3CPU,"256 KiB, 2-way",44.9956,144215471000
RiscvO3CPU,"256 KiB, 4-way",46.4787,144287806000
RiscvO3CPU,"1 MiB, 2-way",22.1036,144641172000
RiscvO3CPU,"1 MiB, 8-way",25.6979,144895260000
