cpu,l2_size_kib,l2_assoc,l3_size_mib,l3_assoc,sim_ticks,sim_insts,l2_miss_rate,l3_miss_rate
timing,32,4,1,8,988153354000,305769008,0.795396,0.320931
timing,64,2,1,8,985351940000,305769008,0.669523,0.380422
timing,64,4,1,8,985731831000,305769008,0.684539,0.372882
timing,64,8,1,8,986043281000,305769008,0.69881,0.365267
timing,256,2,1,8,980459759000,305769008,0.446734,0.571347
timing,256,4,1,8,980802354000,305769008,0.461309,0.553296
timing,1024,2,1,8,970045786000,305769008,0.219476,0.710428
timing,1024,8,1,8,971041566000,305769008,0.255254,0.625309
o3,32,4,1,8,146229168000,305769008,0.80023,0.321296
o3,64,2,1,8,145492392000,305769008,0.674099,0.380578
o3,64,4,1,8,145575128000,305769008,0.689031,0.373223
o3,64,8,1,8,145621846000,305769008,0.703346,0.3656
o3,256,2,1,8,144215471000,305769008,0.449956,0.571607
o3,256,4,1,8,144287806000,305769008,0.464787,0.553517
o3,1024,2,1,8,144641172000,305769008,0.221036,0.710853
o3,1024,8,1,8,144895260000,305769008,0.256979,0.626124
